"Table with row headers in Column A, and column headers in row 3",,,
Supplemental Table 1.,,,
Percentage of Workers Who Commuted by Bicycle in Small Cities: 2008Ð2012 ,,,
"(Total City Population of 20,000Ð99,999)1",,,
"(For information on confidentiality protection, sampling error, and definitions, see www.census.gov/acs/www/Downloads/data_documentation/ Accuracy
/ACS_Accuracy_of_Data_2012.pdf)",,,
City,Number of workers who commuted by bicycle,Percentage of workers,"Margin of 
error (±)2 "
"Cottage Grove city, Minnesota ",64,0.4,0.3
"Cottonwood Heights city, Utah ",49,0.3,0.2
"Council Bluffs city, Iowa ",132,0.4,0.2
"Covina city, California ",134,0.6,0.4
"Covington city, Kentucky ",50,0.3,0.3
"Cranston city, Rhode Island ",92,0.3,0.2
"Crest Hill city, Illinois ",0,0.0,0.3
"Crestview city, Florida ",11,0.1,0.2
"Crown Point city, Indiana ",0,0.0,0.2
"Crystal city, Minnesota ",9,0.1,0.1
"Crystal Lake city, Illinois ",0,0.0,0.1
"Cudahy city, California ",74,0.8,0.8
"Culver City city, California ",219,1.1,0.5
"Cumberland city, Maryland ",0,0.0,0.4
"Cupertino city, California ",221,0.9,0.5
"Cutler Bay town, Florida ",28,0.2,0.2
"Cuyahoga Falls city, Ohio ",56,0.2,0.3
"Cypress city, California ",168,0.7,0.4
"Dalton city, Georgia ",29,0.2,0.3
"Dana Point city, California ",75,0.4,0.3
"Danbury city, Connecticut ",51,0.1,0.1
"Dania Beach city, Florida ",102,0.7,0.5
"Danville city, Illinois ",28,0.2,0.2
"Danville city, Virginia ",33,0.2,0.1
"Danville town, California ",29,0.2,0.2
"Daphne city, Alabama ",91,0.9,1.3
"Darien city, Illinois ",30,0.3,0.3
"Davie town, Florida ",216,0.5,0.3
"Davis city, California ","5,691",18.6,1.8
"Daytona Beach city, Florida ",429,1.9,0.7
"De Pere city, Wisconsin ",75,0.6,0.4
"Dearborn city, Michigan ",110,0.3,0.1
"Dearborn Heights city, Michigan ",32,0.2,0.2
"Decatur city, Alabama ",0,0.0,0.1
"Decatur city, Illinois ",54,0.2,0.1
"Deer Park city, Texas ",65,0.4,0.5
"Deerfield Beach city, Florida ",306,0.9,0.4
"DeKalb city, Illinois ",301,1.5,0.6
"Del City city, Oklahoma ",0,0.0,0.3
"Del Rio city, Texas ",125,0.9,0.5
"DeLand city, Florida ",159,1.6,1.2
"Delano city, California ",41,0.3,0.4
"Delaware city, Ohio ",46,0.3,0.2
"Delray Beach city, Florida ",188,0.7,0.4
"Deltona city, Florida ",58,0.2,0.2
"Denison city, Texas ",34,0.4,0.4
"Derby city, Kansas ",9,0.1,0.1
"Des Moines city, Washington ",24,0.2,0.3
"Des Plaines city, Illinois ",167,0.6,0.3
"Desert Hot Springs city, California ",0,0.0,0.4
"DeSoto city, Texas ",0,0.0,0.2
"Diamond Bar city, California ",7,0.0,0.1
"Dinuba city, California ",14,0.2,0.3
"Dodge City city, Kansas ",42,0.3,0.3
"Dolton village, Illinois ",0,0.0,0.3
"Doral city, Florida ",5,0.0,0.1
"Dothan city, Alabama ",51,0.2,0.1
"Douglasville city, Georgia ",1,0.0,0.1
"Dover city, Delaware ",12,0.1,0.1
"Dover city, New Hampshire ",43,0.3,0.3
"Downers Grove village, Illinois ",176,0.7,0.4
"Draper city, Utah ",35,0.2,0.2
"Duarte city, California ",14,0.2,0.2
"Dublin city, California ",69,0.3,0.2
"Dublin city, Ohio ",16,0.1,0.1
"Dubuque city, Iowa ",43,0.1,0.1
"Duluth city, Georgia ",0,0.0,0.3
"Duluth city, Minnesota ",343,0.8,0.3
"Duncan city, Oklahoma ",18,0.2,0.3
"Duncanville city, Texas ",14,0.1,0.1
"Dunedin city, Florida ",296,1.9,0.8
"Dunwoody city, Georgia ",32,0.1,0.2
"Eagan city, Minnesota ",128,0.4,0.2
"Eagle city, Idaho ",48,0.6,0.5
"Eagle Mountain city, Utah ",0,0.0,0.4
"Eagle Pass city, Texas ",11,0.1,0.2
"Easley city, South Carolina ",11,0.1,0.2
"East Chicago city, Indiana ",0,0.0,0.3
"East Lansing city, Michigan ","1,374",6.8,1.2
"East Moline city, Illinois ",0,0.0,0.3
"East Orange city, New Jersey ",17,0.1,0.1
"East Palo Alto city, California ",440,3.6,3.6
"East Peoria city, Illinois ",0,0.0,0.3
"East Point city, Georgia ",45,0.3,0.4
"East Providence city, Rhode Island ",78,0.4,0.3
"East Ridge city, Tennessee ",3,0.0,0.1
"East St. Louis city, Illinois ",48,0.6,0.5
"Easton city, Pennsylvania ",25,0.2,0.2
"Eastpointe city, Michigan ",0,0.0,0.2
"Eastvale city, California ",45,0.2,0.3
